group,scheme,cache_capacity,n_sbs,episode,reward,cost,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_style_hit_rate
fig7,Random,30,8,1,79.80000000,54920.20000000,0.01709091,0.04572727,0.93718182,0.06281818
fig7,Random,30,8,2,239.30000000,54760.70000000,0.02063636,0.04636364,0.93300000,0.06700000
fig7,C-epsilon-greedy,30,8,1,6301.20000000,48698.80000000,0.12027273,0.12845455,0.75127273,0.24872727
fig7,C-epsilon-greedy,30,8,2,6530.20000000,48469.80000000,0.12354545,0.12790909,0.74854545,0.25145455
fig7,Thompson,30,8,1,150.30000000,54849.70000000,0.01918182,0.04600000,0.93481818,0.06518182
fig7,Thompson,30,8,2,207.90000000,54792.10000000,0.02027273,0.04663636,0.93309091,0.06690909
fig7,BSG-like,30,8,1,6237.20000000,48762.80000000,0.14218182,0.00000000,0.85781818,0.14218182
fig7,BSG-like,30,8,2,5866.50000000,49133.50000000,0.13372727,0.00000000,0.86627273,0.13372727
fig7,EFNRL-like,30,8,1,3490.80000000,51509.20000000,0.07227273,0.09745455,0.83027273,0.16972727
fig7,EFNRL-like,30,8,2,3362.90000000,51637.10000000,0.06690909,0.10718182,0.82590909,0.17409091
fig7,GNN-ActorCritic,30,8,1,4944.00000000,50056.00000000,0.08918182,0.10363636,0.80718182,0.19281818
fig7,GNN-ActorCritic,30,8,2,4869.00000000,50131.00000000,0.08227273,0.12445455,0.79327273,0.20672727
fig8,GNN-ActorCritic,30,8,1,4747.00000000,50253.00000000,0.08381818,0.10718182,0.80900000,0.19100000
fig8,GNN-ActorCritic,30,8,2,4986.00000000,50014.00000000,0.09027273,0.10309091,0.80663636,0.19336364
fig9,GNN-ActorCritic,30,8,1,4466.00000000,50534.00000000,0.07863636,0.10236364,0.81900000,0.18100000
fig9,GNN-ActorCritic,30,8,2,4383.00000000,50617.00000000,0.07772727,0.09845455,0.82381818,0.17618182
