epoch,loss,reward,local_hit_rate,paper_hit_rate
1,-0.87664218,-37.35000000,0.05055502,0.10405229
2,-0.30171182,-50.80000000,0.04557677,0.10425626
3,0.26398292,-55.48333333,0.04391892,0.10547574
4,-1.19586416,-10.51666667,0.05155170,0.11198423
5,-0.28105486,-23.56666667,0.05091986,0.11095512
6,-0.43010805,-1.63333333,0.05312689,0.11027259
7,-1.00022797,-8.65000000,0.05501514,0.11245703
8,0.06621962,-6.01666667,0.05272269,0.11293550
9,-0.46783665,-1.46666667,0.05689877,0.11929427
10,0.04548125,-0.01666667,0.05527131,0.11176922
