episode,step,burst_local_hit,burst_edge_hit
1.0,0.0,0.5,0.5
1.0,1.0,0.0,1.0
1.0,2.0,0.4,0.6
1.0,3.0,0.0,0.0
1.0,4.0,0.0,0.0
1.0,5.0,0.5,1.0
1.0,6.0,0.0,0.0
1.0,7.0,1.0,1.0
1.0,8.0,0.5,0.5
1.0,9.0,0.0,0.0
1.0,10.0,0.6764705882352942,1.0
1.0,11.0,0.9058823529411765,1.0
1.0,12.0,1.0,1.0
1.0,13.0,1.0,1.0
1.0,14.0,1.0,1.0
1.0,15.0,1.0,1.0
1.0,16.0,0.2891566265060241,0.8614457831325302
1.0,17.0,1.0,1.0
1.0,18.0,0.8975903614457831,0.8975903614457831
1.0,19.0,1.0,1.0
1.0,20.0,1.0,1.0
1.0,21.0,1.0,1.0
1.0,22.0,0.5,0.5
1.0,23.0,1.0,1.0
1.0,24.0,0.16666666666666666,0.8333333333333334
1.0,25.0,0.16666666666666666,0.8333333333333334
1.0,26.0,0.6666666666666666,0.6666666666666666
1.0,27.0,0.0,0.0
1.0,28.0,1.0,1.0
1.0,29.0,0.5,1.0
